Review  Text, Assigned
"A total disappointment. Their 'ecological approach' was a facade, the omnipresent plastic being blatant proof.",0
"An ecological pretension devoid of meaning. Their lack of real commitment to the environment was disappointing.",0
"Disappointing. Their alleged ecological consciousness was nothing more than a facade.",0
"A restaurant that boasts of being ecological but does nothing to prove it. A total disappointment.",0
"Ecological facades. Their discourse on ecology did not correspond to the reality of their practice.",0
"A false 'ecological' label. Their lack of concrete actions ruined all credibility.",0
"A total deception. Ecology was a meaningless sales pitch.",0
"An alleged ecological commitment that sorely lacked veracity. Disappointing.",0
"A bitter disappointment. Their 'ecological approach' was purely marketing.",0
"A restaurant that claims to be ecological without actually being so. A disillusionment.",0
"Unfulfilled promises. Their alleged ecological approach was empty.",0
"A false image of ecology. Their behavior did not reflect their words.",0
"A supposedly 'green' restaurant but far from being so. Disappointing.",0
"A false ecological representation. Their lack of sincerity was evident.",0
"Empty discourse on ecology. Their practice contradicted their claims.",0
"An alleged ecological approach without foundation. A total disappointment.",0
"Non-existent commitment to the environment. Disappointing on all levels.",0
"An 'ecological' label without substance. Their lack of concreteness was disappointing.",0
"A restaurant that proclaims to be ecological without actually being so. Disappointing.",0
"False commitment to the environment. Their alleged ecological approach was empty.",0
"Words about ecology without concrete actions. A total disappointment.",0
"An unfounded ecological pretension. Their practice contradicted their claims.",0
"An ecological facade. Their lack of commitment was disappointing.",0
"A restaurant that boasts of being ecological but isn't really. Disappointing.",0
"A deceptive image of ecology. Their lack of real commitment was disappointing.",0
"A mediocre experience overall. The food was acceptable, but their claims of being ecological were hollow. There were no evident efforts towards environmental sustainability.",1
"Not extraordinary. What bothered me was their assertion of being 'ecological'. I didn't see any clear efforts in that direction. Even the straws were plastic. I expected more commitment to the environment.",1
"Average at best. The food was okay, but the talk about ecology wasn't backed by concrete actions. I noticed a few elements like local produce, but nothing substantial. There's still a lot of progress needed.",1
"An acceptable place with decent food. I noticed a few ecological initiatives, such as menus printed on recycled paper. However, I would have liked to see more efforts in this direction to truly consider this restaurant as ecological.",1
